timestamp_ms,setpoint_v,sensor_v
0,0.0000,0.7696
500,0.0000,0.7648
1000,0.0000,0.7607
1500,0.0000,0.7567
2000,0.0000,0.7607
2500,0.0000,0.7559
3010,1.5000,0.7728
3510,1.5000,0.7809
4010,1.5000,0.7615
4510,1.5000,0.7607
5010,1.5000,0.7825
5510,1.5000,0.7736
6010,1.5000,0.7914
6510,1.5000,0.7680
7010,1.5000,0.7632
7510,1.5000,0.7656
8010,1.5000,0.7712
8510,1.5000,0.7680
9010,1.5000,0.7768
9510,1.5000,0.7632
10010,1.5000,0.7728
10510,1.5000,0.7817
11010,1.5000,0.7607
11510,1.5000,0.7817
12010,1.5000,0.7680
12510,1.5000,0.7728
13010,1.5000,0.7664
13510,1.5000,0.7632
14010,1.5000,0.7809
14510,1.5000,0.7591
15010,1.5000,0.7535
15510,1.5000,0.7607
16010,1.5000,0.7696
16510,1.5000,0.7535
17010,1.5000,0.7680
17510,1.5000,0.7752
18010,1.5000,0.7777
18510,1.5000,0.7648
19010,1.5000,0.7777
19510,1.5000,0.7599
20010,1.5000,0.7752
20510,1.5000,0.7535
21010,1.5000,0.7728
21510,1.5000,0.7656
22010,1.5000,0.7809
22510,1.5000,0.7664
23010,1.5000,0.7736
23510,1.5000,0.7785
24010,1.5000,0.7688
24510,1.5000,0.7736
25010,1.5000,0.7648
25510,1.5000,0.7696
26010,1.5000,0.7777
26510,1.5000,0.7680
27010,1.5000,0.7736
27510,1.5000,0.7704
28010,1.5000,0.7623
28510,1.5000,0.7736
29010,1.5000,0.7793
29510,1.5000,0.7599
30010,1.5000,0.7736
30510,1.5000,0.7640
31010,1.5000,0.7623
31510,1.5000,0.7664
32010,1.5000,0.7632
32510,1.5000,0.7704
33010,1.5000,0.7793
33510,1.5000,0.7720
34010,1.5000,0.7760
34510,1.5000,0.7744
35010,1.5000,0.7696
35510,1.5000,0.7680
36010,1.5000,0.7793
36510,1.5000,0.7720
37010,1.5000,0.7656
37510,1.5000,0.7615
38010,1.5000,0.7728
38510,1.5000,0.7736
39010,1.5000,0.7728
39510,1.5000,0.7720
40010,1.5000,0.7777
40510,1.5000,0.7833
41010,1.5000,0.7752
41510,1.5000,0.7720
42010,1.5000,0.7744
42510,1.5000,0.7672
43010,1.5000,0.7785
43510,1.5000,0.7607
44010,1.5000,0.7615
44510,1.5000,0.7736
45010,1.5000,0.7720
45510,1.5000,0.7736
46010,1.5000,0.7696
46510,1.5000,0.7760
47010,1.5000,0.7696
47510,1.5000,0.7849
48010,1.5000,0.7793
48510,1.5000,0.7760
49010,1.5000,0.7704
49510,1.5000,0.7656
50010,1.5000,0.7744
50510,1.5000,0.7607
51010,1.5000,0.7760
51510,1.5000,0.7777
52010,1.5000,0.7696
52510,1.5000,0.7728
53010,1.5000,0.7728
53510,1.5000,0.7664
