timestamp_ms,setpoint_v,sensor_v
0,0.0000,0.8679
500,0.0000,0.8357
1000,0.0000,0.8067
1500,0.0000,0.8494
2000,0.0000,0.8518
2500,0.0000,0.8421
3010,1.4000,0.8494
3510,1.4000,0.8470
4010,1.4000,0.8574
4510,1.4000,0.8534
5010,1.4000,0.8534
5510,1.4000,0.8534
6010,1.4000,0.8550
6510,1.4000,0.8518
7010,1.4000,0.8470
7510,1.4000,0.8470
8010,1.4000,0.8228
8510,1.4000,0.8631
9010,1.4000,0.8550
9510,1.4000,0.8486
10010,1.4000,0.8437
10510,1.4000,0.8510
11010,1.4000,0.8542
11510,1.4000,0.8389
12010,1.4000,0.8244
12510,1.4000,0.8478
13010,1.4000,0.8542
13510,1.4000,0.8381
14010,1.4000,0.8405
14510,1.4000,0.8470
15010,1.4000,0.8679
15510,1.4000,0.8768
16010,1.4000,0.8502
16510,1.4000,0.8518
17010,1.4000,0.8462
17510,1.4000,0.8502
18010,1.4000,0.8373
18510,1.4000,0.8590
19010,1.4000,0.8502
19510,1.4000,0.8478
20010,1.4000,0.8421
20510,1.4000,0.8510
21010,1.4000,0.8687
21510,1.4000,0.8462
22010,1.4000,0.8510
22510,1.4000,0.8502
23010,1.4000,0.8470
23510,1.4000,0.8518
24010,1.4000,0.8494
24510,1.4000,0.8502
25010,1.4000,0.8462
25510,1.4000,0.8397
26010,1.4000,0.8550
26510,1.4000,0.8462
27010,1.4000,0.8526
27510,1.4000,0.8486
28010,1.4000,0.8518
28510,1.4000,0.8478
29010,1.4000,0.8905
29510,1.4000,0.8582
30010,1.4000,0.8341
30510,1.4000,0.8429
31010,1.4000,0.8558
31510,1.4000,0.8510
32010,1.4000,0.8534
32510,1.4000,0.8510
33010,1.4000,0.8381
33510,1.4000,0.8526
34010,1.4000,0.8510
34510,1.4000,0.8494
35010,1.4000,0.8437
35510,1.4000,0.8582
36010,1.4000,0.8502
36510,1.4000,0.8413
37010,1.4000,0.8526
37510,1.4000,0.8453
38010,1.4000,0.8526
38510,1.4000,0.8510
39010,1.4000,0.8784
39510,1.4000,0.8534
40010,1.4000,0.8486
40510,1.4000,0.8534
41010,1.4000,0.8478
41510,1.4000,0.8518
42010,1.4000,0.8437
42510,1.4000,0.8470
43010,1.4000,0.8550
43510,1.4000,0.8494
44010,1.4000,0.8518
44510,1.4000,0.8494
45010,1.4000,0.8534
45510,1.4000,0.8550
46010,1.4000,0.8486
46510,1.4000,0.8486
47010,1.4000,0.8486
47510,1.4000,0.8639
48010,1.4000,0.8518
48510,1.4000,0.8639
49010,1.4000,0.8566
49510,1.4000,0.8526
50010,1.4000,0.8534
50510,1.4000,0.8510
51010,1.4000,0.8542
51510,1.4000,0.8558
52010,1.4000,0.8534
52510,1.4000,0.8510
53010,1.4000,0.8502
53510,1.4000,0.8518
54010,1.4000,0.8550
54510,1.4000,0.8655
