timestamp_ms,setpoint_v,sensor_v
65292,1.7000,0.7027
65792,1.7000,0.7051
66292,1.7000,0.7100
66792,1.7000,0.7003
67292,1.7000,0.7092
67792,1.7000,0.7092
68292,1.7000,0.7059
68792,1.7000,0.7212
69292,1.7000,0.7261
69792,1.7000,0.7075
70292,1.7000,0.7092
70792,1.7000,0.6963
71292,1.7000,0.6947
71792,1.7000,0.7212
72292,1.7000,0.7075
72792,1.7000,0.7043
73292,1.7000,0.7100
73792,1.7000,0.7108
74292,1.7000,0.7124
74792,1.7000,0.7084
75292,1.7000,0.7092
75792,1.7000,0.7148
76292,1.7000,0.7180
76792,1.7000,0.7269
77292,1.7000,0.7092
77792,1.7000,0.7212
78292,1.7000,0.7116
78792,1.7000,0.7140
79292,1.7000,0.7075
79792,1.7000,0.7092
80292,1.7000,0.7027
80792,1.7000,0.7116
81292,1.7000,0.7003
81792,1.7000,0.7245
82292,1.7000,0.7100
82792,1.7000,0.7092
83292,1.7000,0.7092
83792,1.7000,0.7349
84292,1.7000,0.7084
84792,1.7000,0.7092
85292,1.7000,0.7092
85792,1.7000,0.7067
86292,1.7000,0.7100
86792,1.7000,0.7116
87292,1.7000,0.7212
87792,1.7000,0.7084
88292,1.7000,0.7100
88792,1.7000,0.7180
89292,1.7000,0.7116
89792,1.7000,0.7084
90292,1.7000,0.7221
90792,1.7000,0.7172
91292,1.7000,0.7092
91792,1.7000,0.7212
92292,1.7000,0.7164
92792,1.7000,0.7116
93292,1.7000,0.7148
93792,1.7000,0.7140
94292,1.7000,0.7100
94792,1.7000,0.7108
95292,1.7000,0.7092
95792,1.7000,0.7148
96292,1.7000,0.7196
96792,1.7000,0.7100
97292,1.7000,0.7140
97792,1.7000,0.7132
98292,1.7000,0.7116
98792,1.7000,0.7148
99292,1.7000,0.7092
99792,1.7000,0.7092
100292,1.7000,0.7132
100792,1.7000,0.7140
101292,1.7000,0.6971
101792,1.7000,0.6664
102292,1.7000,0.7140
102792,1.7000,0.7075
103292,1.7000,0.7229
103792,1.7000,0.7092
104292,1.7000,0.7204
104792,1.7000,0.7132
105292,1.7000,0.7221
105792,1.7000,0.7092
106292,1.7000,0.7212
106792,1.7000,0.7164
107292,1.7000,0.7116
107792,1.7000,0.7100
108292,1.7000,0.7140
108792,1.7000,0.7108
109292,1.7000,0.7164
109792,1.7000,0.7196
110292,1.7000,0.7092
110792,1.7000,0.6979
111292,1.7000,0.7092
111792,1.7000,0.7245
112292,1.7000,0.7140
112792,1.7000,0.7269
