timestamp_ms,setpoint_v,sensor_v
0,0.0000,0.6656
500,0.0000,0.6987
1000,0.0000,0.6987
1500,0.0000,0.7003
2000,0.0000,0.7100
2500,0.0000,0.7011
3000,0.0000,0.7059
3500,1.9000,0.7229
4000,1.9000,0.7092
4500,1.9000,0.7148
5000,1.9000,0.7043
5500,1.9000,0.7092
6000,1.9000,0.7108
6500,1.9000,0.7140
7000,1.9000,0.7116
7500,1.9000,0.7092
8000,1.9000,0.7092
8500,1.9000,0.7092
9000,1.9000,0.7092
9500,1.9000,0.7003
10000,1.9000,0.7132
10500,1.9000,0.7035
11000,1.9000,0.7035
11500,1.9000,0.6963
12000,1.9000,0.6890
12500,1.9000,0.7051
13000,1.9000,0.7237
13500,1.9000,0.7035
14000,1.9000,0.7092
14500,1.9000,0.7003
15000,1.9000,0.7035
15500,1.9000,0.7092
16000,1.9000,0.7035
16500,1.9000,0.7084
17000,1.9000,0.7092
17500,1.9000,0.7067
18000,1.9000,0.7108
18500,1.9000,0.7092
19000,1.9000,0.7108
19500,1.9000,0.7075
20000,1.9000,0.7075
20500,1.9000,0.6963
21000,1.9000,0.7084
21500,1.9000,0.7059
22000,1.9000,0.6971
22500,1.9000,0.7180
23000,1.9000,0.7035
23500,1.9000,0.6834
24000,1.9000,0.7051
24500,1.9000,0.7051
25000,1.9000,0.6834
25500,1.9000,0.7116
26000,1.9000,0.7204
26500,1.9000,0.7172
27000,1.9000,0.7019
27500,1.9000,0.6979
28000,1.9000,0.7092
28500,1.9000,0.6987
29000,1.9000,0.7027
29500,1.9000,0.7051
30000,1.9000,0.7075
30500,1.9000,0.7116
31000,1.9000,0.7092
31500,1.9000,0.7003
32000,1.9000,0.7011
32500,1.9000,0.7067
33000,1.9000,0.6979
33500,1.9000,0.7100
34000,1.9000,0.7075
34500,1.9000,0.7075
35000,1.9000,0.7027
35500,1.9000,0.7092
36000,1.9000,0.7059
36500,1.9000,0.6890
37000,1.9000,0.7116
37500,1.9000,0.7019
38000,1.9000,0.7011
38500,1.9000,0.7100
39000,1.9000,0.7100
39500,1.9000,0.7075
40000,1.9000,0.7019
40500,1.9000,0.7092
41000,1.9000,0.7035
41500,1.9000,0.7092
42000,1.9000,0.7092
42500,1.9000,0.7059
43000,1.9000,0.7108
43500,1.9000,0.7075
44000,1.9000,0.7092
44500,1.9000,0.7108
45000,1.9000,0.6947
45500,1.9000,0.7011
46000,1.9000,0.7124
46500,1.9000,0.7051
47000,1.9000,0.7084
47500,1.9000,0.7132
48000,1.9000,0.6979
48500,1.9000,0.6938
49000,1.9000,0.7092
49500,1.9000,0.6971
50000,1.9000,0.7116
50500,1.9000,0.6979
51000,1.9000,0.7204
51500,1.9000,0.7124
52000,1.9000,0.7092
52500,1.9000,0.7067
53000,1.9000,0.7084
53500,1.9000,0.7116
54000,1.9000,0.7051
54500,1.9000,0.7108
55000,1.9000,0.6576
55500,1.9000,0.7075
56000,1.9000,0.7124
56500,1.9000,0.7075
57000,1.9000,0.7108
57500,1.9000,0.7108
58000,1.9000,0.7204
58500,1.9000,0.7092
59000,1.9000,0.7067
59500,1.9000,0.7100
60000,1.9000,0.7092
60500,1.9000,0.7172
61000,1.9000,0.7051
61500,1.9000,0.7059
62000,1.9000,0.7116
62500,1.9000,0.7092
63000,1.9000,0.7204
63500,1.9000,0.7132
64000,1.9000,0.7075
64500,1.9000,0.7092
65000,1.9000,0.6963
65500,1.9000,0.7148
66000,1.9000,0.7164
66500,1.9000,0.7051
67000,1.9000,0.7108
67500,1.9000,0.6995
68000,1.9000,0.7108
68500,1.9000,0.7084
69000,1.9000,0.7132
69500,1.9000,0.7132
70000,1.9000,0.7092
70500,1.9000,0.7212
71000,1.9000,0.7092
71500,1.9000,0.7092
72000,1.9000,0.7132
72500,1.9000,0.7148
73000,1.9000,0.7229
73500,1.9000,0.7204
74000,1.9000,0.7075
74500,1.9000,0.7140
75000,1.9000,0.6995
75500,1.9000,0.7204
76000,1.9000,0.7196
76500,1.9000,0.7164
77000,1.9000,0.7156
77500,1.9000,0.7140
78000,1.9000,0.7132
78500,1.9000,0.7132
79000,1.9000,0.7140
79500,1.9000,0.7140
80000,1.9000,0.7333
80500,1.9000,0.7148
81000,1.9000,0.7172
81500,1.9000,0.7100
82000,1.9000,0.7116
82500,1.9000,0.7148
83000,1.9000,0.7067
83500,1.9000,0.7172
84000,1.9000,0.7140
84500,1.9000,0.7180
85000,1.9000,0.7180
85500,1.9000,0.7132
86000,1.9000,0.7100
86500,1.9000,0.7100
87000,1.9000,0.7172
87500,1.9000,0.7124
88000,1.9000,0.7092
88500,1.9000,0.7108
89000,1.9000,0.7229
89500,1.9000,0.7188
90000,1.9000,0.7092
90500,1.9000,0.7245
91000,1.9000,0.7341
91500,1.9000,0.7309
92000,1.9000,0.7349
92500,1.9000,0.7221
93000,1.9000,0.7325
93500,1.9000,0.7204
94000,1.9000,0.7180
94500,1.9000,0.7132
95000,1.9000,0.7196
95500,1.9000,0.7212
96000,1.9000,0.7221
96500,1.9000,0.7245
97000,1.9000,0.7277
97500,1.9000,0.7261
98000,1.9000,0.7221
98500,1.9000,0.7237
99000,1.9000,0.7245
99500,1.9000,0.7035
100000,1.9000,0.7212
100500,1.9000,0.7221
101000,1.9000,0.7269
101500,1.9000,0.7229
102000,1.9000,0.7196
102500,1.9000,0.7108
103000,1.9000,0.7180
103500,1.9000,0.7245
104000,1.9000,0.7366
104500,1.9000,0.7269
105000,1.9000,0.7180
105500,1.9000,0.7237
106000,1.9000,0.7212
106500,1.9000,0.7237
107000,1.9000,0.7261
107500,1.9000,0.7293
108000,1.9000,0.7204
108500,1.9000,0.7196
109000,1.9000,0.7237
109500,1.9000,0.7067
110000,1.9000,0.7309
110500,1.9000,0.7293
111000,1.9000,0.7253
111500,1.9000,0.7092
112000,1.9000,0.7237
112500,1.9000,0.7269
113000,1.9000,0.7261
113500,1.9000,0.7204
114000,1.9000,0.7269
114500,1.9000,0.7269
115000,1.9000,0.7293
115500,1.9000,0.7237
116000,1.9000,0.7349
116500,1.9000,0.7212
117000,1.9000,0.7269
117500,1.9000,0.7325
118000,1.9000,0.7333
118500,1.9000,0.7390
119000,1.9000,0.7349
119500,1.9000,0.7462
120000,1.9000,0.7277
120500,1.9000,0.7237
121000,1.9000,0.7349
121500,1.9000,0.7293
122000,1.9000,0.7333
122500,1.9000,0.7245
123000,1.9000,0.7390
123500,1.9000,0.7261
124000,1.9000,0.7349
124500,1.9000,0.7349
125000,1.9000,0.7470
125500,1.9000,0.7366
126000,1.9000,0.7406
126500,1.9000,0.7325
127000,1.9000,0.7390
127500,1.9000,0.7349
128000,1.9000,0.7341
128500,1.9000,0.7349
129000,1.9000,0.7470
129500,1.9000,0.7349
130000,1.9000,0.7349
130500,1.9000,0.7221
131000,1.9000,0.7341
131500,1.9000,0.7374
132000,1.9000,0.7164
132500,1.9000,0.7454
133000,1.9000,0.7374
