timestamp_ms,setpoint_v,sensor_v
24774,1.6000,0.7752
25274,1.6000,0.7825
25774,1.6000,0.7833
26274,1.6000,0.7865
26774,1.6000,0.7801
27274,1.6000,0.7785
27774,1.6000,0.7623
28274,1.6000,0.7825
28774,1.6000,0.7817
29274,1.6000,0.7809
29774,1.6000,0.7793
30274,1.6000,0.7865
30774,1.6000,0.7785
31274,1.6000,0.7728
31774,1.6000,0.7793
32274,1.6000,0.7857
32774,1.6000,0.7785
33274,1.6000,0.7768
33774,1.6000,0.7857
34274,1.6000,0.7817
34774,1.6000,0.7857
35274,1.6000,0.7857
35774,1.6000,0.7857
36274,1.6000,0.7760
36774,1.6000,0.7865
37274,1.6000,0.7777
37774,1.6000,0.7849
38274,1.6000,0.7728
38774,1.6000,0.7785
39274,1.6000,0.7849
39774,1.6000,0.7905
40274,1.6000,0.7640
40774,1.6000,0.7793
41274,1.6000,0.7736
41774,1.6000,0.7825
42274,1.6000,0.7744
42774,1.6000,0.7744
43274,1.6000,0.7817
43774,1.6000,0.7865
44274,1.6000,0.7728
44774,1.6000,0.7785
45274,1.6000,0.7849
45774,1.6000,0.7672
46274,1.6000,0.7760
46774,1.6000,0.7785
47274,1.6000,0.7777
47774,1.6000,0.7696
48274,1.6000,0.7865
48774,1.6000,0.7817
49274,1.6000,0.7486
49774,1.6000,0.7938
50274,1.6000,0.7777
50774,1.6000,0.7841
51274,1.6000,0.7946
51774,1.6000,0.7865
52274,1.6000,0.7817
52774,1.6000,0.7857
53274,1.6000,0.7793
53774,1.6000,0.7793
54274,1.6000,0.7809
54774,1.6000,0.7865
55274,1.6000,0.7817
55774,1.6000,0.7857
56274,1.6000,0.7849
56774,1.6000,0.7801
57274,1.6000,0.7785
57774,1.6000,0.7873
58274,1.6000,0.7785
58774,1.6000,0.7696
59274,1.6000,0.7777
59774,1.6000,0.7744
60274,1.6000,0.7865
60774,1.6000,0.7857
61274,1.6000,0.7841
61774,1.6000,0.7752
62274,1.6000,0.7986
62774,1.6000,0.7744
63274,1.6000,0.7865
63774,1.6000,0.7777
64274,1.6000,0.7873
64774,1.6000,0.7841
65274,1.6000,0.7849
65774,1.6000,0.7825
66274,1.6000,0.7897
66774,1.6000,0.7865
67274,1.6000,0.7760
67774,1.6000,0.7825
68274,1.6000,0.7736
68774,1.6000,0.7712
69274,1.6000,0.7865
69774,1.6000,0.7865
70274,1.6000,0.7777
70774,1.6000,0.7801
71274,1.6000,0.7809
71774,1.6000,0.7865
72274,1.6000,0.7736
72774,1.6000,0.7760
73274,1.6000,0.7817
73774,1.6000,0.7785
74274,1.6000,0.7736
74774,1.6000,0.7760
75274,1.6000,0.7841
75774,1.6000,0.7793
76274,1.6000,0.7736
76774,1.6000,0.7777
77274,1.6000,0.7817
77774,1.6000,0.7793
78274,1.6000,0.7777
78774,1.6000,0.7833
79274,1.6000,0.7752
79774,1.6000,0.7664
80274,1.6000,0.7865
80774,1.6000,0.7777
81274,1.6000,0.7865
81774,1.6000,0.7809
82274,1.6000,0.7736
82774,1.6000,0.8042
83274,1.6000,0.7825
83774,1.6000,0.7849
84274,1.6000,0.7841
84774,1.6000,0.7865
85274,1.6000,0.7785
85774,1.6000,0.7857
86274,1.6000,0.8010
86774,1.6000,0.7865
87274,1.6000,0.7865
87774,1.6000,0.7728
88274,1.6000,0.8171
88774,1.6000,0.7865
89274,1.6000,0.7865
89774,1.6000,0.7809
90274,1.6000,0.7865
90774,1.6000,0.7841
91274,1.6000,0.7841
91774,1.6000,0.7865
92274,1.6000,0.7841
92774,1.6000,0.7889
93274,1.6000,0.7881
93774,1.6000,0.7793
94274,1.6000,0.7914
94774,1.6000,0.7922
95274,1.6000,0.7656
95774,1.6000,0.7664
96274,1.6000,0.7857
96774,1.6000,0.7873
97274,1.6000,0.7825
97774,1.6000,0.7849
98274,1.6000,0.7809
98774,1.6000,0.7825
99274,1.6000,0.7841
99774,1.6000,0.7809
100274,1.6000,0.7648
100774,1.6000,0.7889
101274,1.6000,0.7817
101774,1.6000,0.7817
102274,1.6000,0.7865
102774,1.6000,0.7849
103274,1.6000,0.7825
103774,1.6000,0.7825
104274,1.6000,0.7897
104774,1.6000,0.7825
105274,1.6000,0.7865
105774,1.6000,0.7865
106274,1.6000,0.7865
106774,1.6000,0.7817
107274,1.6000,0.7865
107774,1.6000,0.7849
108274,1.6000,0.7865
108774,1.6000,0.7914
109274,1.6000,0.8002
109774,1.6000,0.7954
110274,1.6000,0.7865
110774,1.6000,0.7994
111274,1.6000,0.7865
111774,1.6000,0.8123
112274,1.6000,0.7938
112774,1.6000,0.7865
113274,1.6000,0.7897
113774,1.6000,0.8010
114274,1.6000,0.7865
114774,1.6000,0.7905
115274,1.6000,0.7841
115774,1.6000,0.7865
116274,1.6000,0.7849
116774,1.6000,0.7736
117274,1.6000,0.7865
117774,1.6000,0.7841
118274,1.6000,0.7897
118774,1.6000,0.7889
119274,1.6000,0.7970
119774,1.6000,0.7914
120274,1.6000,0.7841
120774,1.6000,0.7970
121274,1.6000,0.7922
121774,1.6000,0.7865
122274,1.6000,0.7897
122774,1.6000,0.7865
123274,1.6000,0.7873
123774,1.6000,0.7752
124274,1.6000,0.7865
124774,1.6000,0.7841
125274,1.6000,0.7889
125774,1.6000,0.7760
126274,1.6000,0.7720
126774,1.6000,0.7954
127274,1.6000,0.7865
127774,1.6000,0.7962
128274,1.6000,0.7865
128774,1.6000,0.8051
129274,1.6000,0.7946
129774,1.6000,0.7994
130274,1.6000,0.7825
130774,1.6000,0.7889
131274,1.6000,0.8026
131774,1.6000,0.7777
132274,1.6000,0.7849
132774,1.6000,0.7889
133274,1.6000,0.7905
133774,1.6000,0.7873
134274,1.6000,0.7865
134774,1.6000,0.7881
135274,1.6000,0.7793
135774,1.6000,0.7865
136274,1.6000,0.7865
136774,1.6000,0.7897
137274,1.6000,0.7986
137774,1.6000,0.7865
138274,1.6000,0.7656
138774,1.6000,0.8123
